id,BNID,FNID,lane_type,p1,p2,hdg,length,speed,motion_type,obstacle_avoid,qr_code,infrared,heading,extra_cost,avoid_level,group_id,zone_id
1,63,92,line,0,0,0,1.5,0.6,1,1,1,1,1,0,0,0,0
2,92,64,line,0,0,0,8.6,0.6,1,1,1,1,1,0,0,0,0
3,64,65,line,0,0,0,0.9,0.6,1,1,1,1,1,0,0,0,0
4,65,4,line,0,0,0,1.4,0.6,1,1,1,1,1,0,0,0,0
5,4,5,line,0,0,0,2.3,0.6,1,1,1,1,1,0,0,0,0
6,5,6,line,0,0,0,2.3,0.6,1,1,1,1,1,0,0,0,0
7,6,7,line,0,0,0,2.3,0.6,1,1,1,1,1,0,0,0,0
8,7,66,line,0,0,0,3.27,0.6,1,1,1,1,1,0,0,0,0
9,66,8,line,0,0,0,1.83,0.6,1,1,1,1,1,0,0,0,0
10,8,9,line,0,0,0,2.3,0.6,1,1,1,1,1,0,0,0,0
11,9,10,line,0,0,0,2.3,0.6,1,1,1,1,1,0,0,0,0
12,10,11,line,0,0,0,2.3,0.6,1,1,1,1,1,0,0,0,0
13,11,67,line,0,0,0,3.7,0.6,1,1,1,1,1,0,0,0,0
14,67,12,line,0,0,0,1.9,0.6,1,1,1,1,1,0,0,0,0
15,12,13,line,0,0,0,2.3,0.6,1,1,1,1,1,0,0,0,0
16,13,14,line,0,0,0,2.3,0.6,1,1,1,1,1,0,0,0,0
17,14,15,line,0,0,0,2.3,0.6,1,1,1,1,1,0,0,0,0
18,15,68,line,0,0,0,1.2,0.6,1,1,1,1,1,0,0,0,0
19,68,74,line,0,0,0,1.2,0.6,1,1,1,1,1,0,0,0,0
20,74,73,line,0,0,0,10,0.6,1,1,1,1,1,0,0,0,0
21,73,72,line,0,0,0,12.43,0.6,1,1,1,1,1,0,0,0,0
22,72,71,line,0,0,0,11.57,0.6,1,1,1,1,1,0,0,0,0
23,71,70,line,0,0,0,0.4,0.6,1,1,1,1,1,0,0,0,0
24,70,69,line,0,0,0,8.6,0.6,1,1,1,1,1,0,0,0,0
25,66,72,line,0,0,0,1.2,0.6,1,1,1,1,1,0,0,0,0
26,67,73,line,0,0,0,1.2,0.6,1,1,1,1,1,0,0,0,0
27,70,76,line,0,0,0,18.603,0.6,1,1,1,1,1,0,0,0,0
28,77,72,line,0,0,0,19,0.6,1,1,1,1,1,0,0,0,0
